"iso3c","country","income_group","region","population","small_state_flag"
"NRU","Naoero","High income","East Asia & Pacific",12025,TRUE
"NPL","Nepal","Lower middle income","South Asia",29618118,FALSE
"NLD","Netherlands","High income","Europe & Central Asia",18087633,FALSE
"NCL","New Caledonia","High income","East Asia & Pacific",295333,TRUE
"NZL","New Zealand","High income","East Asia & Pacific",5324700,FALSE
"NIC","Nicaragua","Lower middle income","Latin America & Caribbean ",7007502,FALSE
"NER","Niger","Low income","Sub-Saharan Africa ",27917831,FALSE
"NGA","Nigeria","Lower middle income","Sub-Saharan Africa ",237527782,FALSE
"MKD","North Macedonia","Upper middle income","Europe & Central Asia",1820909,FALSE
"MNP","Northern Mariana Islands","High income","East Asia & Pacific",43541,TRUE
"NOR","Norway","High income","Europe & Central Asia",5610870,FALSE
"OMN","Oman","High income","Middle East, North Africa, Afghanistan & Pakistan",5494691,FALSE
"PAK","Pakistan","Lower middle income","Middle East, North Africa, Afghanistan & Pakistan",255219554,FALSE
"PLW","Palau","High income","East Asia & Pacific",17663,TRUE
"PAN","Panama","High income","Latin America & Caribbean ",4571189,FALSE
"PNG","Papua New Guinea","Lower middle income","East Asia & Pacific",10762817,FALSE
"PRY","Paraguay","Upper middle income","Latin America & Caribbean ",7013078,FALSE
"PER","Peru","Upper middle income","Latin America & Caribbean ",34576665,FALSE
"PHL","Philippines","Upper middle income","East Asia & Pacific",116786962,FALSE
"POL","Poland","High income","Europe & Central Asia",36435861,FALSE
"PRT","Portugal","High income","Europe & Central Asia",10804871,FALSE
"PRI","Puerto Rico (US)","High income","Latin America & Caribbean ",3184835,FALSE
"QAT","Qatar","High income","Middle East, North Africa, Afghanistan & Pakistan",2972215,FALSE
"ROU","Romania","High income","Europe & Central Asia",19020271,FALSE
"RUS","Russian Federation","High income","Europe & Central Asia",143513328,FALSE
"RWA","Rwanda","Low income","Sub-Saharan Africa ",14569341,FALSE
"WSM","Samoa","Upper middle income","East Asia & Pacific",219306,TRUE
"SMR","San Marino","High income","Europe & Central Asia",34109,TRUE
"STP","Sao Tome and Principe","Lower middle income","Sub-Saharan Africa ",240254,TRUE
"SAU","Saudi Arabia","High income","Middle East, North Africa, Afghanistan & Pakistan",36973555,FALSE
"SEN","Senegal","Lower middle income","Sub-Saharan Africa ",18931966,FALSE
"SRB","Serbia","Upper middle income","Europe & Central Asia",6549143,FALSE
"SYC","Seychelles","High income","Sub-Saharan Africa ",122730,TRUE
"SLE","Sierra Leone","Low income","Sub-Saharan Africa ",8819794,FALSE
"SGP","Singapore","High income","East Asia & Pacific",6111175,FALSE
"SXM","Sint Maarten (Dutch part)","High income","Latin America & Caribbean ",43923,TRUE
"SVK","Slovak Republic","High income","Europe & Central Asia",5413813,FALSE
"SVN","Slovenia","High income","Europe & Central Asia",2130986,FALSE
"SLB","Solomon Islands","Lower middle income","East Asia & Pacific",838645,TRUE
"SOM","Somalia, Fed. Rep.","Low income","Sub-Saharan Africa ",19654739,FALSE
"ZAF","South Africa","Upper middle income","Sub-Saharan Africa ",64747319,FALSE
"SSD","South Sudan","Low income","Sub-Saharan Africa ",12188788,FALSE
"ESP","Spain","High income","Europe & Central Asia",49355143,FALSE
"LKA","Sri Lanka","Upper middle income","South Asia",21756000,FALSE
"KNA","St. Kitts and Nevis","High income","Latin America & Caribbean ",46922,TRUE
"LCA","St. Lucia","Upper middle income","Latin America & Caribbean ",180149,TRUE
"MAF","St. Martin (French part)","High income","Latin America & Caribbean ",24941,TRUE
"VCT","St. Vincent and the Grenadines","Upper middle income","Latin America & Caribbean ",99924,TRUE
"SDN","Sudan","Low income","Sub-Saharan Africa ",51662147,FALSE
"SUR","Suriname","Upper middle income","Latin America & Caribbean ",639850,TRUE
"SWE","Sweden","High income","Europe & Central Asia",10596620,FALSE
"CHE","Switzerland","High income","Europe & Central Asia",9092436,FALSE
"SYR","Syrian Arab Republic","Low income","Middle East, North Africa, Afghanistan & Pakistan",25620427,FALSE
"TJK","Tajikistan","Lower middle income","Europe & Central Asia",10786734,FALSE
"TZA","Tanzania","Lower middle income","Sub-Saharan Africa ",70545865,FALSE
"THA","Thailand","Upper middle income","East Asia & Pacific",71619863,FALSE
"TLS","Timor-Leste","Lower middle income","East Asia & Pacific",1418517,TRUE
"TGO","Togo","Lower middle income","Sub-Saharan Africa ",8591626,FALSE
"TON","Tonga","Upper middle income","East Asia & Pacific",103742,TRUE
"TTO","Trinidad and Tobago","High income","Latin America & Caribbean ",1367764,TRUE
"TUN","Tunisia","Lower middle income","Middle East, North Africa, Afghanistan & Pakistan",12348573,FALSE
"TUR","Turkiye","Upper middle income","Europe & Central Asia",85878556,FALSE
"TKM","Turkmenistan","Upper middle income","Europe & Central Asia",7618847,FALSE
"TCA","Turks and Caicos Islands","High income","Latin America & Caribbean ",46855,TRUE
"TUV","Tuvalu","Upper middle income","East Asia & Pacific",9492,TRUE
"UGA","Uganda","Low income","Sub-Saharan Africa ",51384894,FALSE
"UKR","Ukraine","Upper middle income","Europe & Central Asia",38980376,FALSE
"ARE","United Arab Emirates","High income","Middle East, North Africa, Afghanistan & Pakistan",11513149,FALSE
"GBR","United Kingdom","High income","Europe & Central Asia",69487000,FALSE
"USA","United States","High income","North America",341784857,FALSE
"URY","Uruguay","High income","Latin America & Caribbean ",3384688,FALSE
"UZB","Uzbekistan","Lower middle income","Europe & Central Asia",37053428,FALSE
"VUT","Vanuatu","Lower middle income","East Asia & Pacific",335169,TRUE
"VEN","Venezuela, RB","Lower middle income","Latin America & Caribbean ",28516896,FALSE
"VNM","Viet Nam","Upper middle income","East Asia & Pacific",101598527,FALSE
"VIR","Virgin Islands (U.S.)","High income","Latin America & Caribbean ",103792,TRUE
"PSE","West Bank and Gaza","Lower middle income","Middle East, North Africa, Afghanistan & Pakistan",5413596,FALSE
"YEM","Yemen, Rep.","Low income","Middle East, North Africa, Afghanistan & Pakistan",41773878,FALSE
"ZMB","Zambia","Lower middle income","Sub-Saharan Africa ",21913874,FALSE
"ZWE","Zimbabwe","Lower middle income","Sub-Saharan Africa ",16950795,FALSE
